title,url,year,authors,venue,type,access,key,ee
From old to new: From internet to smart contracts and from people to smart contracts.,https://dblp.org/rec/journals/clsr/Graaf19,2019,[],Comput. Law Secur. Rev.,Journal Articles,closed,journals/clsr/Graaf19,https://doi.org/10.1016/j.clsr.2019.04.005
"Blockchain, Smart Contracts und Recht - Smart Contracts als Risiko für Informatiker.",https://dblp.org/rec/journals/insk/HoffmannS19,2019,"['Thomas Hoffmann 0005', 'Volker Skwarek']",Inform. Spektrum,Journal Articles,closed,journals/insk/HoffmannS19,https://doi.org/10.1007/s00287-019-01180-3
Smart Contract Locator (SCL) and Smart Contract Description Language (SCDL).,https://dblp.org/rec/conf/icsoc/LamparelliFBDL19,2019,"['Andrea Lamparelli', 'Ghareeb Falazi', 'Uwe Breitenbücher', 'Florian Daniel', 'Frank Leymann']",ICSOC Workshops,Conference and Workshop Papers,closed,conf/icsoc/LamparelliFBDL19,https://doi.org/10.1007/978-3-030-45989-5_16
SmarTor: Smarter Tor with Smart Contracts: Improving resilience of topology distribution in the Tor network.,https://dblp.org/rec/conf/acsac/AndreAS18,2018,"['André Greubel', 'Alexandra Dmitrienko', 'Samuel Kounev']",ACSAC,Conference and Workshop Papers,closed,conf/acsac/AndreAS18,https://doi.org/10.1145/3274694.3274722
On Observing Contracts: Deontic Contracts Meet Smart Contracts.,https://dblp.org/rec/conf/jurix/AzzopardiPS18,2018,"['Shaun Azzopardi', 'Gordon J. Pace', 'Fernando Schapachnik']",JURIX,Conference and Workshop Papers,open,conf/jurix/AzzopardiPS18,https://doi.org/10.3233/978-1-61499-935-5-21
Transforming Public Procurement Contracts Into Smart Contracts.,https://dblp.org/rec/journals/ijitpm/Debono19,2019,[],Int. J. Inf. Technol. Proj. Manag.,Journal Articles,closed,journals/ijitpm/Debono19,https://doi.org/10.4018/IJITPM.2019040103
Aplos: Smart Contracts Made Smart.,https://dblp.org/rec/conf/blocksys/BandaraNRZ19,2019,"['Eranga Bandara', 'Wee Keong Ng', 'Nalin Ranasinghe', 'Kasun De Zoysa']",BlockSys,Conference and Workshop Papers,closed,conf/blocksys/BandaraNRZ19,https://doi.org/10.1007/978-981-15-2777-7_35
A Trading Model Based on Legal Contracts Using Smart Contract Templates.,https://dblp.org/rec/conf/blocksys/ShiLTLZ19,2019,"['Youqun Shi', 'Zihao Lu', 'Ran Tao 0005', 'Ying Liu', 'Zhaohui Zhang']",BlockSys,Conference and Workshop Papers,closed,conf/blocksys/ShiLTLZ19,https://doi.org/10.1007/978-981-15-2777-7_36
ÆGIS: Smart Shielding of Smart Contracts.,https://dblp.org/rec/conf/ccs/TorresBNJ19,2019,"['Christof Ferreira Torres', 'Mathis Baden', 'Robert Norvill', 'Hugo Jonker']",CCS,Conference and Workshop Papers,closed,conf/ccs/TorresBNJ19,https://doi.org/10.1145/3319535.3363263
Das Contract - A Visual Domain Specific Language for Modeling Blockchain Smart Contracts.,https://dblp.org/rec/conf/eewc/SkotnicaP19,2019,"['Marek Skotnica', 'Robert Pergl']",EEWC,Conference and Workshop Papers,closed,conf/eewc/SkotnicaP19,https://doi.org/10.1007/978-3-030-37933-9_10
Bazaar-Contract: A Smart Contract for Binding Multi-Round Bilateral Negotiations on Cloud Markets.,https://dblp.org/rec/conf/ficloud/PittlSMS19,2019,"['Benedikt Pittl', 'Stefan Starflinger', 'Werner Mach', 'Erich Schikuta']",FiCloud,Conference and Workshop Papers,closed,conf/ficloud/PittlSMS19,https://doi.org/10.1109/FiCloud.2019.00028
Ethereum-based Emergency Service for Smart Home System: Smart Contract Implementation.,https://dblp.org/rec/conf/icact/AungT19,2019,"['Yu Nandar Aung', 'Thitinan Tantidham']",ICACT,Conference and Workshop Papers,closed,conf/icact/AungT19,https://doi.org/10.23919/ICACT.2019.8701987
Blockchain based smart energy trading platform using smart contract.,https://dblp.org/rec/conf/icaiic/PeeKSJ19,2019,"['Seung Jae Pee', 'Eung Seon Kang', 'Jae Geun Song', 'Ju Wook Jang']",ICAIIC,Conference and Workshop Papers,closed,conf/icaiic/PeeKSJ19,https://doi.org/10.1109/ICAIIC.2019.8668978
The genesis of the revolution in Contract Law: Smart Legal Contracts.,https://dblp.org/rec/conf/icegov/Pereira30,2019,[],ICEGOV,Conference and Workshop Papers,closed,conf/icegov/Pereira30,https://doi.org/10.1145/3326365.3326414
Decentralized access control for smart buildings using metadata and smart contracts.,https://dblp.org/rec/conf/icse/BindraLSA19,2019,"['Leepakshi Bindra', 'Changyuan Lin', 'Eleni Stroulia', 'Omid Ardakanian']",SEsCPS@ICSE,Conference and Workshop Papers,closed,conf/icse/BindraLSA19,https://doi.org/10.1109/SEsCPS.2019.00013
Smarter smart contract development tools.,https://dblp.org/rec/conf/icse/CoblenzSAM19,2019,"['Michael J. Coblenz', 'Joshua Sunshine', 'Jonathan Aldrich', 'Brad A. Myers']",WETSEB@ICSE,Conference and Workshop Papers,closed,conf/icse/CoblenzSAM19,https://doi.org/10.1109/WETSEB.2019.00013
SmartEmbed: A Tool for Clone and Bug Detection in Smart Contracts through Structural Code Embedding.,https://dblp.org/rec/conf/icsm/GaoJJ00G19,2019,"['Zhipeng Gao', 'Vinoj Jayasundara 0001', 'Lingxiao Jiang', 'Xin Xia 0001', 'David Lo 0001', 'John C. Grundy']",ICSME,Conference and Workshop Papers,closed,conf/icsm/GaoJJ00G19,https://doi.org/10.1109/ICSME.2019.00067
Smart Contracts for supply chain applicable to Smart Cities daily operations.,https://dblp.org/rec/conf/isc2/MontesRGL19,2019,"['Jesús Máximo Montes', 'Cecilia E. Ramírez', 'Manuel Coronado Gutierrez', 'Victor M. Larios-Rosillo']",ISC2,Conference and Workshop Papers,closed,conf/isc2/MontesRGL19,https://doi.org/10.1109/ISC246665.2019.9071650
Citizens Vote to Act: smart contracts for the management of water resources in smart cities.,https://dblp.org/rec/conf/sa/BraccialiCVZ19,2019,"['Andrea Bracciali', 'Ioannis Chatzigiannakis', 'Andrea Vitaletti', 'Marco Zecchini']",SA,Conference and Workshop Papers,closed,conf/sa/BraccialiCVZ19,https://doi.org/10.1109/SA47457.2019.8938093
Smart Agriculture: An Open Field For Smart Contracts.,https://dblp.org/rec/conf/seeda/VoutosDM19,2019,"['Yorghos Voutos', 'Georgios Drakopoulos', 'Phivos Mylonas']",SEEDA-CECNSM,Conference and Workshop Papers,closed,conf/seeda/VoutosDM19,https://doi.org/10.1109/SEEDA-CECNSM.2019.8908411
Step-by-Step Guidelines for Making Smart Contract Smarter.,https://dblp.org/rec/conf/soca/JengHW19,2019,"['Ya-Wen Jeng', 'Yung-Chen Hsieh', 'Ja-Ling Wu']",SOCA,Conference and Workshop Papers,closed,conf/soca/JengHW19,https://doi.org/10.1109/SOCA.2019.00012
"On legal contracts, imperative and declarative smart contracts, and blockchain systems.",https://dblp.org/rec/journals/ail/GovernatoriIMRS18,2018,"['Guido Governatori', 'Florian Idelberger', 'Zoran Milosevic', 'Régis Riveret', 'Giovanni Sartor', 'Xiwei Xu 0001']",Artif. Intell. Law,Journal Articles,closed,journals/ail/GovernatoriIMRS18,https://doi.org/10.1007/s10506-018-9223-3
Examining latent classes of smartphone users: Relations with psychopathology and problematic smartphone use.,https://dblp.org/rec/journals/chb/ElhaiC18,2018,"['Jon D. Elhai', 'Ateka A. Contractor']",Comput. Hum. Behav.,Journal Articles,closed,journals/chb/ElhaiC18,https://doi.org/10.1016/j.chb.2018.01.010
Standard form contracts and a smart contract future.,https://dblp.org/rec/journals/intpolrev/Cornelius18,2018,[],Internet Policy Rev.,Journal Articles,open,journals/intpolrev/Cornelius18,https://doi.org/10.14763/2018.2.790
A Blockchain-Based Contractual Routing Protocol for the Internet of Things Using Smart Contracts.,https://dblp.org/rec/journals/wicomm/RamezanL18,2018,"['Gholamreza Ramezan', 'Cyril Leung']",Wirel. Commun. Mob. Comput.,Journal Articles,open,journals/wicomm/RamezanL18,https://doi.org/10.1155/2018/4029591
SmartCheck: Static Analysis of Ethereum Smart Contracts.,https://dblp.org/rec/conf/icse/TikhomirovVITMA18,2018,"['Sergei Tikhomirov', 'Ekaterina Voskresenskaya', 'Ivan Ivanitskiy', 'Ramil Takhaviev', 'Evgeny Marchenko', 'Yaroslav Alexandrov']",WETSEB@ICSE,Conference and Workshop Papers,closed,conf/icse/TikhomirovVITMA18,https://doi.org/10.1145/3194113.3194115
Smart Contracts for Incentivizing Sensor Based Mobile Smart City Applications.,https://dblp.org/rec/conf/isc2/Lindsay18,2018,[],ISC2,Conference and Workshop Papers,closed,conf/isc2/Lindsay18,https://doi.org/10.1109/ISC2.2018.8656959
Contracts over Smart Contracts: Recovering from Violations Dynamically.,https://dblp.org/rec/conf/isola/ColomboEP18,2018,"['Christian Colombo 0001', 'Joshua Ellul', 'Gordon J. Pace']",ISoLA,Conference and Workshop Papers,closed,conf/isola/ColomboEP18,https://doi.org/10.1007/978-3-030-03427-6_23
Smartsupply: Smart Contract Based Validation for Supply Chain Blockchain.,https://dblp.org/rec/conf/ithings/SuWK18,2018,"['Shuang Su', 'Ke Wang', 'Hyong S. Kim']",iThings/GreenCom/CPSCom/SmartData,Conference and Workshop Papers,closed,conf/ithings/SuWK18,https://doi.org/10.1109/Cybermatics_2018.2018.00186
SmartEdge: A Smart Contract for Edge Computing.,https://dblp.org/rec/conf/ithings/WrightMCK18,2018,"['Kwame-Lante Wright', 'Martin Martinez', 'Uday Chadha', 'Bhaskar Krishnamachari']",iThings/GreenCom/CPSCom/SmartData,Conference and Workshop Papers,closed,conf/ithings/WrightMCK18,https://doi.org/10.1109/Cybermatics_2018.2018.00281
Improving IoT Services in Smart-Home Using Blockchain Smart Contract.,https://dblp.org/rec/conf/ithings/ZhouHLWLT18,2018,"['Yiyun Zhou', 'Meng Han', 'Liyuan Liu', 'Yan Wang 0062', 'Yi Liang', 'Ling Tian']",iThings/GreenCom/CPSCom/SmartData,Conference and Workshop Papers,closed,conf/ithings/ZhouHLWLT18,https://doi.org/10.1109/Cybermatics_2018.2018.00047
ContractFuzzer: fuzzing smart contracts for vulnerability detection.,https://dblp.org/rec/conf/kbse/0001LC18,2018,"['Bo Jiang 0001', 'Ye Liu', 'W. K. Chan 0001']",ASE,Conference and Workshop Papers,closed,conf/kbse/0001LC18,https://doi.org/10.1145/3238147.3238177
Monitoring Smart Contracts: ContractLarva and Open Challenges Beyond.,https://dblp.org/rec/conf/rv/AzzopardiEP18,2018,"['Shaun Azzopardi', 'Joshua Ellul', 'Gordon J. Pace']",RV,Conference and Workshop Papers,closed,conf/rv/AzzopardiEP18,https://doi.org/10.1007/978-3-030-03769-7_8
Implementation of REA Contracts as Blockchain Smart Contracts: An Exploratory Exampl.,https://dblp.org/rec/conf/vmbo/GalM18,2018,"['Graham Gal', 'William E. McCarthy']",VMBO,Conference and Workshop Papers,open,conf/vmbo/GalM18,https://ceur-ws.org/Vol-2239/article_11.pdf
SmartInspect: solidity smart contract inspector.,https://dblp.org/rec/conf/wcre/BragagnoloRDD18,2018,"['Santiago Bragagnolo', 'Henrique Rocha', 'Marcus Denker', 'Stéphane Ducasse']",IWBOSE@SANER,Conference and Workshop Papers,closed,conf/wcre/BragagnoloRDD18,https://doi.org/10.1109/IWBOSE.2018.8327566
Is a &apos;smart contract&apos; really a smart idea? Insights from a legal perspective.,https://dblp.org/rec/journals/clsr/Giancaspro17,2017,[],Comput. Law Secur. Rev.,Journal Articles,closed,journals/clsr/Giancaspro17,https://doi.org/10.1016/j.clsr.2017.05.007
SmartDEMAP: A Smart Contract Deployment and Management Platform.,https://dblp.org/rec/conf/aims/KnechtS17,2017,"['Markus Knecht', 'Burkhard Stiller']",AIMS,Conference and Workshop Papers,open,conf/aims/KnechtS17,https://doi.org/10.1007/978-3-319-60774-0_15
SmartCast: An Incentive Compatible Consensus Protocol Using Smart Contracts.,https://dblp.org/rec/conf/fc/KothapalliMB17,2017,"['Abhiram Kothapalli', 'Andrew Miller 0001', 'Nikita Borisov']",Financial Cryptography Workshops,Conference and Workshop Papers,closed,conf/fc/KothapalliMB17,https://doi.org/10.1007/978-3-319-70278-0_34
On Design and Implementation a Smart Contract-Based Investigation Report Management Framework for Smartphone Applications.,https://dblp.org/rec/conf/iih-msp/ChaPHHCT17,2017,"['Shi-Cho Cha 0001', 'Wei-Ching Peng', 'Zijia Huang', 'Tzu-Yang Hsu', 'Jyun-Fu Chen', 'Tsung-Ying Tsai']",IIH-MSP,Conference and Workshop Papers,closed,conf/iih-msp/ChaPHHCT17,https://doi.org/10.1007/978-3-319-63859-1_35
Making Smart Contracts Smarter.,https://dblp.org/rec/conf/ccs/LuuCOSH16,2016,"['Loi Luu', 'Duc-Hiep Chu', 'Hrishi Olickel', 'Prateek Saxena', 'Aquinas Hobor']",CCS,Conference and Workshop Papers,closed,conf/ccs/LuuCOSH16,https://doi.org/10.1145/2976749.2978309
Blockchain contract: Securing a blockchain applied to smart contracts.,https://dblp.org/rec/conf/iccel/Watanabe0NMAK16,2016,"['Hiroki Watanabe', 'Shigeru Fujimura 0002', 'Atsushi Nakadaira', 'Yasuhiko Miyazaki', 'Akihito Akutsu', 'Jay Kishigami']",ICCE,Conference and Workshop Papers,closed,conf/iccel/Watanabe0NMAK16,https://doi.org/10.1109/ICCE.2016.7430693
Making Smart Contracts Smarter.,https://dblp.org/rec/journals/iacr/LuuCOSH16,2016,"['Loi Luu', 'Duc-Hiep Chu', 'Hrishi Olickel', 'Prateek Saxena', 'Aquinas Hobor']",IACR Cryptol. ePrint Arch.,Informal and Other Publications,open,journals/iacr/LuuCOSH16,http://eprint.iacr.org/2016/633
Online Film Production in China Using Blockchain and Smart Contracts - The Development of Collaborative Platforms for Emerging Creative Talents,https://dblp.org/rec/books/sp/Poujol19,2019,[],,Books and Theses,closed,books/sp/Poujol19,https://doi.org/10.1007/978-3-030-02468-0
A Blockchain Smart Contract Based on Light- Weighted Quantum Blind Signature.,https://dblp.org/rec/journals/access/CaiQLY19,2019,"['Zhengying Cai', 'Jing Qu', 'Pingping Liu', 'Jiao Yu']",IEEE Access,Journal Articles,open,journals/access/CaiQLY19,https://doi.org/10.1109/ACCESS.2019.2941153
A Critical-Path-Coverage-Based Vulnerability Detection Method for Smart Contracts.,https://dblp.org/rec/journals/access/FuWHZSF19,2019,"['Menglin Fu', 'Lifa Wu', 'Zheng Hong', 'Feng Zhu', 'He Sun', 'Wenbo Feng']",IEEE Access,Journal Articles,open,journals/access/FuWHZSF19,https://doi.org/10.1109/ACCESS.2019.2947146
An Empirical Study Into the Success of Listed Smart Contracts in Ethereum.,https://dblp.org/rec/journals/access/HartelHR19,2019,"['Pieter H. Hartel', 'Ivan Homoliak', 'Daniël Reijsbergen']",IEEE Access,Journal Articles,open,journals/access/HartelHR19,https://doi.org/10.1109/ACCESS.2019.2957284
Combating Deepfake Videos Using Blockchain and Smart Contracts.,https://dblp.org/rec/journals/access/HasanS19,2019,"['Haya R. Hasan', 'Khaled Salah 0001']",IEEE Access,Journal Articles,open,journals/access/HasanS19,https://doi.org/10.1109/ACCESS.2019.2905689
Cochain-SC: An Intra- and Inter-Domain Ddos Mitigation Scheme Based on Blockchain Using SDN and Smart Contract.,https://dblp.org/rec/journals/access/HoudaHK19,2019,"['Zakaria Abou El Houda', 'Abdelhakim Senhaji Hafid', 'Lyes Khoukhi']",IEEE Access,Journal Articles,open,journals/access/HoudaHK19,https://doi.org/10.1109/ACCESS.2019.2930715
Smart Contract Security: A Software Lifecycle Perspective.,https://dblp.org/rec/journals/access/HuangBLZS19,2019,"['Yongfeng Huang 0002', 'Yiyang Bian', 'Renpu Li', 'J. Leon Zhao', 'Peizhong Shi']",IEEE Access,Journal Articles,open,journals/access/HuangBLZS19,https://doi.org/10.1109/ACCESS.2019.2946988
Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things.,https://dblp.org/rec/journals/access/JiangZG19a,2019,"['Yuna Jiang', 'Yi Zhong 0001', 'Xiaohu Ge']",IEEE Access,Journal Articles,open,journals/access/JiangZG19a,https://doi.org/10.1109/ACCESS.2019.2959771
